student_id,minutes_watched,paid_in_q2
32669,134.0667,1
33796,530.5,1
33916,8.55,1
34049,14.3,1
34081,1.9333,1
34981,0.8667,1
35147,18.3667,1
37860,587.9,1
41451,316.25,1
41613,657.5333,1
42675,1730.2,1
42928,235.8,1
44291,350.95,1
52075,0.3167,1
58539,24.05,1
70008,113.5333,1
111643,46.5333,1
113546,6.4833,1
115084,5.3,1
120374,951.1333,1
123732,52.7333,1
134788,385.7,1
135372,45.7667,1
141064,119.3,1
142411,0.4667,1
143012,90.2,1
143038,753.0167,1
143216,1744.9,1
143289,64.6667,1
143327,37.2167,1
143392,557.3,1
143407,39.9667,1
143444,127.0,1
143466,83.9,1
143489,1.5333,1
143514,199.6,1
143519,18.9333,1
143523,2242.05,1
143527,1147.55,1
143536,21.85,1
143561,2167.8667,1
143597,12.1,1
143599,111.1667,1
143643,524.8,1
143655,13.2667,1
143691,44.4667,1
143693,48.1,1
143701,2255.3,1
143711,45.5,1
143746,325.0,1
143770,167.8667,1
143777,64.7167,1
143781,1128.4833,1
143797,505.35,1
143801,631.3,1
143853,5730.3,1
143920,62.4667,1
144083,145.9,1
144087,0.0833,1
144090,11.7,1
144119,2.25,1
144126,461.6167,1
144164,1159.2333,1
144174,571.1833,1
144220,39.8333,1
144230,43.0333,1
144240,431.1,1
144273,23.1333,1
144293,8903.6,1
144305,4729.8,1
144343,484.5667,1
144348,780.7667,1
144355,25.15,1
144378,2740.3333,1
144381,631.7333,1
144384,442.5,1
144387,71.8833,1
144395,533.0,1
144400,1630.6,1
144403,290.0,1
144444,65.95,1
144467,112.8667,1
144492,423.9,1
144556,405.6833,1
144565,612.3167,1
144575,5852.5,1
144599,149.7667,1
144627,1377.7667,1
144644,203.0,1
144681,563.9,1
144707,357.0667,1
144713,22.95,1
144749,2044.9667,1
144764,3029.95,1
144786,2604.85,1
144788,1149.9,1
144789,73.3333,1
144869,2733.8667,1
144873,146.5167,1
144874,1568.5,1
144900,1644.45,1
144907,1.4333,1
144912,188.6667,1
144929,550.2,1
144939,2976.3333,1
144956,347.7,1
144987,237.8667,1
145013,543.5,1
145050,2019.0,1
145089,494.5,1
145091,130.9333,1
145135,884.4333,1
